ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,homeownership_rate,poverty_rate,white_prop,black_prop,asian_prop,hispanic_prop,log_median_household_income
90703,1608.0,165.0,10.261194029850747,87.25825796672784,0.8255265828056145,39.22522192930387,0.9393015525049294,0.4992465949035627,0.3339,0.1643,0.6008,0.8816,0.2822,15850,11880,49211,35.0,0.7495268138801262,5.158714071431468,0.1573965216686261,0.08499209470142295,0.6055458710017432,0.14109944460209997,11.729970457822569
90704,185.5,27.5,14.824797843665769,7.952010395156404,0.1951765493826568,16.513215173254228,0.3401203734149048,0.4545676388315383,0.714,0.5357,0.4571,0.5717,0.9791,1397,445,3805,16.2,0.3185397279885469,9.811616954474097,0.7595499738356881,0.0026164311878597592,0.007587650444793302,0.5384615384615384,11.397593173784854
90706,4400.5,295.5,6.715146006135667,81.86009378689145,0.8799449633085691,40.19913868444932,0.9753645155539707,0.58060944736651,0.9228,0.8468,0.8123,0.8742,0.9479,24065,9397,77969,14.1,0.3904841055474756,14.053246885848477,0.2503573616499898,0.12235807637328977,0.11535123545027567,0.6005590157239126,11.230284000614796
90710,1326.5,128.5,9.68714662646061,89.44728148304046,0.8948550410364272,33.33730935430745,0.9174790135778472,0.6273823035874236,0.8713,0.7942,0.7879,0.8351,0.898,9276,5022,27488,21.5,0.5413971539456662,12.875676854308246,0.3188937747574227,0.1240687574953665,0.2170658138605226,0.45622705963586146,11.226762238487717
90712,1816.0,128.0,7.048458149779736,74.15749299655322,0.821464878976867,38.10786614383926,0.8983738385702099,0.407804374424876,0.2784,0.1778,0.2584,0.711,0.3708,10193,7532,31512,24.5,0.7389384871970961,4.446627789046653,0.40628169371196754,0.11796399594320486,0.17761156186612576,0.35474771805273836,11.688079731325619
90713,1475.0,125.0,8.47457627118644,70.82837375687285,0.8031379048568885,37.876125372780976,0.8901771211225037,0.3123881920159354,0.1129,0.1766,0.1686,0.5603,0.1194,9343,7906,28423,21.8,0.8461950123086803,5.3412567249200045,0.5447448925770948,0.03765955202362952,0.14416821969830163,0.302682935405605,11.726495334490107
90715,1098.0,103.0,9.380692167577411,88.20394094846156,0.8928923458409298,38.02181010730111,0.9284772055189878,0.5723226593582437,0.6655,0.6035,0.5562,0.8476,0.5678,6515,3405,20940,21.5,0.5226400613967767,8.635257052842618,0.2614444603561029,0.10181870256336818,0.2634015943481789,0.4307604181583847,11.39766050629526
90716,867.0,93.5,10.784313725490197,89.49194788605597,0.8495792399735093,37.85194295496861,0.895869335938805,0.7372381067779608,0.8848,0.7971,0.8708,0.9456,0.832,3631,1709,13941,12.0,0.470669237124759,14.453769456997346,0.18872390789756832,0.02862061545082849,0.1258159385983789,0.7727566171723693,11.208897184915555
90717,1212.5,82.5,6.804123711340206,87.74755121670958,0.7033153069716596,30.46931667355692,0.787521222725432,0.3920604721102242,0.6754,0.5053,0.584,0.647,0.8291,8327,3722,21657,26.2,0.4469797045754773,12.539012300348814,0.4991279603451441,0.049384982559206904,0.18803928768129247,0.33568937029557555,11.386352662245923
90723,3252.0,230.0,7.072570725707257,83.58181007857283,0.9715823809472874,41.201944406512496,1.02573898218542,0.7056494731009578,0.9322,0.8661,0.8146,0.9569,0.9282,14378,5849,52931,9.6,0.4068020587007929,13.207972075216755,0.20686484254776114,0.08974214615471231,0.03817137709717374,0.8125586457981459,11.114386316932798
